Company,"Business Unit","Department Name","Department Code","Parent Department Code","Business Unit Name","Business Unit Code","Top Department","Project Allocated","Project Allocated Name","Project Allocated Code",HOD,"Performance HOD","Functional Head","Head HR","Group HR Head","Head Level Access","Level 1","Level 2","Level 3","Level 4","Level 5","Level 6","Level 7","Level 8","Level 9",Status,Capability
"PrimeSoft IP Solutions Private Limited.",,"Business Analysis",PSI.PRDM.BA,PSI.PRDM,,,,,,,"[REDACTED],[REDACTED]",,,,,,"CEO (PSI.C)","Product Management (PSI.PRDM)","Business Analysis (PSI.PRDM.BA)",,,,,,,Active,
"Tejora Private Limited",,"Business Analysis",TPL.PM.BA,TPL.PM,,,,,,,"[REDACTED],[REDACTED]",,,,,,"CEO (TPL.C)","Project Management (TPL.PM)","Business Analysis (TPL.PM.BA)",,,,,,,Active,
"Tejora Private Limited",,"Business Development",TPL.BD,TPL.C,,,,,,,"[REDACTED]",,,,,,"CEO (TPL.C)","Business Development (TPL.BD)",,,,,,,,Active,
"Igenero Web Solutions Private Limited",,"Business Development",IWSPL.BD,,,,,,,,"[REDACTED]",,,,,,"Business Development (IWSPL.BD)",,,,,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,"Business Development",PSI.BD,PSI.VP.SALES,,,,,,,"[REDACTED]",,,,,,"CEO (PSI.C)","VP (PSI.VP.SALES)","Business Development (PSI.BD)",,,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,CEO,PSI.C,,,,,,,,,,,,,,"CEO (PSI.C)",,,,,,,,,Active,
"Tejora Private Limited",,CEO,TPL.C,,,,,,,,,,,,,,"CEO (TPL.C)",,,,,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,"Co Founder-EVP",PSI.BD.CFEVP,PSI.C,,,,,,,"[REDACTED]",,,,,,"CEO (PSI.C)","Co Founder-EVP (PSI.BD.CFEVP)",,,,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,"Company Director",PSI.C.CD,PSI.C,,,,,,,"[REDACTED]",,,,,,"CEO (PSI.C)","Company Director (PSI.C.CD)",,,,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,Content,PSI.D.C,PSI.D,,,,,,,"[REDACTED]",,,,,,"CEO (PSI.C)","Digital (PSI.D)","Content (PSI.D.C)",,,,,,,Active,
"Igenero Web Solutions Private Limited",,Content,IWSPL.D.C,IWSPL.D,,,,,,,,,,,,,"Digital (IWSPL.D)","Content (IWSPL.D.C)",,,,,,,,Active,
"Tejora Private Limited",,Coordinator,TPL.PC.CD,TPL.PC,,,,,,,,,,,,,"CEO (TPL.C)","Project Coordinator (TPL.PC)","Coordinator (TPL.PC.CD)",,,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,"Core DevOps",PSI.DAS.CDO,PSI.DAS,,,,,,,"[REDACTED]",,,"[REDACTED]",,,"CEO (PSI.C)","Vice President Engineering (PSI.C.VPE)","VP QA & Devops (PSI.VP.QA&DO)","DevOps and Support (PSI.DAS)","Core DevOps (PSI.DAS.CDO)",,,,,Active,
"Tejora Private Limited",,"Core DevOps",TPL.DAS.CDO,TPL.DAS,,,,,,,,,,,,,"CEO (TPL.C)","DevOps and Support (TPL.DAS)","Core DevOps (TPL.DAS.CDO)",,,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,"Core HR",PSI.HR.CHR,PSI.HR,,,,,,,"[REDACTED]",,,,,,"CEO (PSI.C)","Senior Director HR (PSI.C.SDHR)","Human Resources (PSI.HR)","Core HR (PSI.HR.CHR)",,,,,,Active,
